account_name,sector,supplier,value_estimate,total_spend,idox_penetration
100Green,Energy,UNKNOWN,,,0
"1310 (Farnborough, Hampshire, England)",Fibre,UNKNOWN,,,0
"1p Broadband (Alton, Hampshire, England)",Fibre,UNKNOWN,,,0
"6Gi (Lancashire, England)",Fibre,UNKNOWN,,,0
"AAISP (Bracknell, Berkshire, England)",Fibre,UNKNOWN,,,0
ABEI Energy Limited,Energy,IDOX,,15000.0,7
ABP Marine Environmental Research Limited,Renewables,IDOX,,8033.74,2
Affinity Water,Water,OTHER,110000.0,,0
Aggregate Industries UK Ltd,Infrastructure,IDOX,,24099.42,6
Air Fibre (Northern Ireland),Fibre,UNKNOWN,,,0
"Airband (Worcester, Worcestershire, England)",Fibre,UNKNOWN,,,0
"Airwave Communications (Derby, Derbyshire, England)",Fibre,UNKNOWN,,,0
Allpoints Fibre Networks Limited,Fibre,IDOX,,10792.92,2
"Alncom (Alnwick, Northumberland, England)",Fibre,IDOX,,,0
AMP Energy Services Ltd,Energy,IDOX,,11173.21,5
Andrew Moseley Associates Ltd,Infrastructure,IDOX,,5200.23,2
Andrews & Arnold Ltd,Fibre,UNKNOWN,,,0
Anesco Limited,Renewables,IDOX,,25228.76,6
Anglian Water,Water,ESRI,970000.0,,0
Angus Energy,Energy,UNKNOWN,,,0
"Angus WISP (Inverarity By Forfar, Angus, Scotland)",Fibre,UNKNOWN,,,0
Aquiss,Fibre,UNKNOWN,,,0
"ASDA Mobile (Leeds, West Yorkshire, England)",Fibre,UNKNOWN,,,0
"Ashford Fibre (Ashford. Kent, England)",Fibre,UNKNOWN,,,0
B&D Energy,Energy,UNKNOWN,,,0
"B4RK (Faversham, Kent, England)",Fibre,UNKNOWN,,,0
"B4RN (Lancaster, Lancashire, England)",Fibre,UNKNOWN,,,0
"B4SH (Guildford, Surrey, England)",Fibre,UNKNOWN,,,0
"Back of Beyond Broadband (Oban, Argyll and Bute, Scotland)",Fibre,UNKNOWN,,,0
"Badenoch Broadband (Laggan, Badenoch, Scotland)",Fibre,UNKNOWN,,,0
"Ballscoigne (Hampshire, England)",Fibre,UNKNOWN,,,0
"Beacon Broadband (Londonderry, Northern Ireland)",Fibre,UNKNOWN,,,0
"Beeline Broadband (North Yorkshire, England)",Fibre,UNKNOWN,,,0
"BeFibre (Middlesex, London, England)",Fibre,UNKNOWN,,,0
Belltown Power UK Limited,Energy,IDOX,,15504.95,4
BES Utilities,Energy,UNKNOWN,,,0
"BitStreme (Bedford, Bedfordshire, England)",Fibre,UNKNOWN,,,0
"Bluebox (Londonderry, Northern Ireland)",Fibre,UNKNOWN,,,0
"Bluewave Internet (Carmarthenshire, Wales)",Fibre,UNKNOWN,,,0
BOC,Energy,UNKNOWN,,,0
Boldyn Networks UK Limited,Fibre,IDOX,,33629.41,6
"bOnline (London, England)",Fibre,UNKNOWN,,,0
Boost energy,Energy,UNKNOWN,,,0
Boralex Ltd,Renewables,IDOX,,13460.0,6
"Boundless Networks (West Yorkshire, England)",Fibre,UNKNOWN,,,0
Box Broadband,Fibre,ESRI,15000.0,,0
BP,Energy,UNKNOWN,,,0
BPA,Energy,UNKNOWN,,,0
"BrawBand (Inverness, Scotland)",Fibre,UNKNOWN,,,0
"Brdy (London, England)",Fibre,UNKNOWN,,,0
"BreezTel (London, England)",Fibre,UNKNOWN,,,0
"Briant Broadband (West Sussex, England)",Fibre,UNKNOWN,,,0
"Brighton Fibre (Brighton, East Sussex, England)",Fibre,UNKNOWN,,,0
"Brillband (Glasgow, Scotland)",Fibre,UNKNOWN,,,0
"Briskona (Northumberland, England)",Fibre,UNKNOWN,,,0
Bristol Water - OS Migration,Water,OTHER,86513.0,,0
British Gas ,Energy,UNKNOWN,,,0
BritNed,Energy,UNKNOWN,,,0
"Brsk (London, England)",Fibre,UNKNOWN,,,0
BT,Fibre,LANDMARK,,,0
"Buckminster Broadband (Buckminster, Leicestershire, England)",Fibre,UNKNOWN,,,0
Bulb Energy,Energy,UNKNOWN,,,0
Cadent Gas,Energy,ESRI,1389873.57,,0
"Call Flow (Kent, England)",Fibre,UNKNOWN,,,0
"Call27 (Newcastle upon Tyne, England)",Fibre,UNKNOWN,,,0
"Cambridge Fibre (Cambridge, Cambridgeshire, England)",Fibre,UNKNOWN,,,0
Cambridge Water,Water,UNKNOWN,,,0
Cambridgeshire County Council Climate Change and Energy Services,Renewables,UNKNOWN,,,0
"Caravan Internet (Essex, England)",Fibre,UNKNOWN,,,0
Causeway Technologies Limited,Infrastructure,IDOX,,111210.0,18
CEMEX,Infrastructure,UNKNOWN,,,0
Central Area Transmission System (CATS),Energy,UNKNOWN,,,0
Centrica Storage,Energy,UNKNOWN,,,0
"Cerberus Networks (Middlesex, England)",Fibre,UNKNOWN,,,0
Chevron Traffic Management Limited,Infrastructure,IDOX,,27500.0,13
CityFibre Limited,Fibre,IDOX,,1574517.33,191
"CIX (Surrey, England)",Fibre,UNKNOWN,,,0
"Clear Picture (Kent, England)",Fibre,UNKNOWN,,,0
"CloudScape Connect (Leicester, England)",Fibre,UNKNOWN,,,0
CNG Services Ltd,Energy,UNKNOWN,,,0
"Colchester Fibre (Colchester, Essex, England)",Fibre,UNKNOWN,,,0
Collett & Sons Ltd,Infrastructure,IDOX,,8832.54,4
Colt Technology Services,Fibre,IDOX,,301542.34,55
"Community Fibre (London, England)",Fibre,ESRI,57000.0,,0
"Connect Fibre (Cambridge, Cambridgeshire, England)",Fibre,IDOX,,,0
"Connexin (England, London and Hull)",Fibre,LANDMARK,53000.0,,0
ConocoPhillips,Energy,UNKNOWN,,,0
Conrad Energy (Developments) Ltd,Renewables,IDOX,,6867.63,3
Co-Operative Energy ,Energy,UNKNOWN,,,0
Core Highways (Regions) Ltd,Infrastructure,IDOX,,28284.99,14
Coriolis Energy Ltd,Energy,IDOX,,9534.4,5
"Cornwall Broadband (Bude, Cornwall, England)",Fibre,UNKNOWN,,,0
Corona Energy ,Energy,UNKNOWN,,,0
"Country Connect (Newport, Wales)",Fibre,UNKNOWN,,,0
"Countryside Broadband (Woodcote, Reading, England)",Fibre,UNKNOWN,,,0
"County Broadband (Essex, England)",Fibre,UNKNOWN,,,0
"Cromarty Firth Wireless Broadband (Cromarty Firth, Scotland)",Fibre,UNKNOWN,,,0
CSP,Infrastructure,UNKNOWN,,,0
Cuckoo,Fibre,LANDMARK,20000.0,,0
Dalcour Maclaren Ltd,Infrastructure,IDOX,,24594.42,6
"Derbyshire Broadband (Derbyshire, England)",Fibre,UNKNOWN,,,0
Diamond Transmission Corporation,Energy,UNKNOWN,,,0
"Direct Save Telecom (Hertfordshire, England)",Fibre,UNKNOWN,,,0
"Distant Voice (Weybridge, Surrey, England)",Fibre,UNKNOWN,,,0
Downing Renewable Developments LLP,Renewables,IDOX,,13566.45,3
Drax,Energy,UNKNOWN,,,0
"Drimnin Community Broadband (Drimnin, Oban, Scotland)",Fibre,UNKNOWN,,,0
DS Smith,Infrastructure,UNKNOWN,,,0
DTA Transportation Limited,Infrastructure,IDOX,,9488.06,5
