Account Owner,Account Name,,"Customer Value Classification
High (5) to Low (1)",Current Main Supplier (Idox or Competitor Name),Estimated Competitor Value (per annum),Estimated Upsell Value/Opps in SF (per annum),Main Product / Service Offer,Renewal Date,Total Spend This Year
,,Company Activity,,,,,,,
,,,,,,,,,
Ben Griffith,Affinity Water,Water/Waste,4,Cadcorp," £343,000.00 ",,"Address & Mastermap, then Water company upsell plan",,
Natalie Stevens,Allpoints Fibre Networks Limited,Telco,2,ESRI," £100,000.00 ",,Win back opportunity,," £10,792.92 "
Natalie Stevens,Anesco Limited,Renewables,2,Idox,," £25,000.00 ","Flood, Planning, T5",," £25,228.76 "
Daniel Clements,Anglian Water,Water/Waste,5,ESRI," £970,000.00 ",,"Mastermap, Address then Water upsell plan",31/03/2027,
Ben Ruhrmund,BES Utilities (now Ruby Energy),Energy,2,Unknown," £50,000.00 ",,Unknown,,
Ben Griffith,BOC,Energy,3,Unknown," £150,000.00 ",,Address & Mastermap,,
Natalie Stevens,Boldyn Networks UK Limited,Telco,2,Idox,," £18,000.00 ",Consultancy,," £33,629.41 "
Natalie Stevens,British Pipeline Agency (BPA),Energy,2,Unknown," £59,000.00 ",,"Address & Mastermap, T5, Subsidence",,
Tony Mabey,Bristol Water,Water/Waste,2,Ordnance Survey," £86,513.00 ",,"Asset Mapping, part of Pennon Group Procurement with South West Water",31/03/2027,
Daniel Clements,British Gas ,Energy,5,Unknown," £480,000.00 ",,OS don't think they licence any data - upsell via TwentyCI,,
Tony Mabey,BT,Telco,2,Ordnance Survey," £50,000.00 ",,Consultancy,,
Tony Mabey,Cadent Gas,Energy,5,ESRI," £1,389,873.57 "," £30,000.00 ","Asset Mapping, planning",30/09/2028,
Ben Griffith,Causeway Technologies Limited,Infrastructure (Transport),3,Idox," £80,000.00 ",,Web services and Landpack,," £111,210.00 "
Ben Ruhrmund,CEMEX,Infrastructure (Transport),2,Idox,," £40,000.00 ","Landpack Commercial Ownership, OSVM and Utility Reports ",," £15,290.91 "
Daniel Clements,Centrica Storage,Energy,2,Unknown," £55,000.00 ",,Address & Mastermap,,
Daniel Slater,CityFibre Limited,Telco,5,Idox," £100,000.00 "," £150,000.00 ",Business intelligence (experian/market Location),31/03/2027," £1,213,759.00 "
Ben Griffith,CNG Services Ltd,Energy,2,Unknown," £50,000.00 ",,MasterMap,,
Ben Ruhrmund,Colt Technology Services,Telco,3,Idox,," £100,000.00 ","Landpack CO, additional mapping OSMM and address",," £184,317.66 "
Natalie Stevens,Community Fibre - merged with Box,Telco,2,ESRI," £57,000.00 ",,Addressbase Prem and Landpack,,
Natalie Stevens,"Connexin (England, London and Hull)",Telco,2,Landmark," £53,000.00 ",,"OS Mastermap, WMS, Address",,
Daniel Clements,Dalcour Maclaren Ltd,Infrastructure (Transport),2,Idox,," £50,000.00 ","Managed Service, Planning",," £24,594.42 "
Tony Mabey,Dwr Cymru Welsh Water,Water/Waste,4,Ordnance Survey," £472,621.00 ",,"Mastermap, Address then Water upsell plan",30/03/2027,
Ben Griffith,E.ON Energy,Energy,3,Unknown," £300,000.00 ",,"Planning, OS data, Address",,
Ben Ruhrmund,Ecotricity Generation Limited,Energy,2,Idox,," £50,000.00 ",Address,," £9,578.84 "
Nancy Chirau,EDF Energy limited,Energy,5,ESRI," £1,000,000.00 ",,"Address & Mastermap, then Energy upsell plan",," £15,082.38 "
Tony Mabey,Electricity North West,Energy,4,Ordnance Survey," £351,317.00 ",,"Mastermap, Address then Energy upsell plan",31/08/2026,
